Verb,Functions,Semantics,Reliability,Contingency,Accessibility,Native,Learner
说,Target,Communication,No,Attracted,1,105.53,180.65
感,Stimulus,Psych,Yes,Attracted,2,1.84,114.47
好,Target,Manner,Yes,Repelled,1,1.20,88.77
有,Concerned,Functional,Yes,Attracted,1,19.94,65.41
好,Concerned,Attribute,Yes,Repelled,1,0.02,63.85
有,Stimulus,Functional,Yes,Attracted,1,4.55,63.07
了解,Theme,Psych,Yes,Attracted,2,3.19,24.92
是,Concerned,Functional,No,Attracted,1,6.62,21.80
满意,Stimulus,Psych,Yes,Attracted,2,2.71,21.80
重要,Concerned,Attribute,Yes,Repelled,2,0.72,21.80
好奇,Stimulus,Psych,Yes,Attracted,4,0.15,14.02
表示,Theme,Communication,No,Attracted,3,10.69,12.46
感到,Stimulus,Psych,Yes,Attracted,2,11.04,9.34
热情,Target,Manner,Yes,Attracted,2,0.16,9.34
合适,Concerned,Attribute,No,Repelled,2,0.08,9.34
熟悉,Theme,Psych,Yes,Attracted,3,1.98,8.57
实行,Scope,Functional,Yes,Attracted,5,5.76,7.79
习惯,Stimulus,Psych,Yes,Attracted,2,0.22,7.79
影响,Concerned,Functional,Yes,Attracted,2,1.22,6.23
感谢,Stimulus,Psych,Yes,Attracted,3,0.08,6.23
有,Theme,Functional,No,Attracted,1,39.77,5.45
产生,Stimulus,Functional,Yes,Attracted,4,9.09,5.45
表示,Target,Communication,Yes,Attracted,3,4.35,5.45
理解,Theme,Psych,No,Attracted,3,0.65,5.45
道歉,Target,Communication,No,Attracted,3,0.22,4.67
负,Scope,Functional,Yes,Attracted,3,6.59,3.89
产生,Concerned,Functional,Yes,Attracted,4,4.05,3.89
带来,Concerned,Functional,No,Attracted,6,1.35,3.89
难,Concerned,Attribute,Yes,Repelled,2,0.02,3.89
关心,Theme,Psych,Yes,Attracted,2,1.73,3.11
欢迎,Theme,Psych,No,Attracted,2,0.12,3.11
友好,Target,Manner,Yes,Repelled,3,0.07,3.11
做,Scope,Functional,Yes,Attracted,1,5.41,2.34
充满,Theme,Functional,Yes,Attracted,4,4.30,2.34
给予,Scope,Functional,Yes,Attracted,5,3.43,2.34
微笑,Target,Physical,No,Attracted,4,1.66,2.34
知道,Theme,Psych,No,Repelled,1,0.82,2.34
不满,Stimulus,Psych,Yes,Attracted,6,0.58,2.34
一样,Theme,Manner,Yes,Repelled,2,0.21,2.34
适应,Stimulus,Psych,Yes,Repelled,3,0.18,2.34
生气,Stimulus,Psych,Yes,Attracted,2,0.17,2.34
失望,Stimulus,Psych,Yes,Attracted,3,0.12,2.34
热心,Target,Manner,Yes,Attracted,4,0.09,2.34
亲切,Target,Manner,Yes,Attracted,4,0.08,2.34
停止,Scope,Functional,Yes,Attracted,6,0.06,2.34
进行,Scope,Functional,Yes,Attracted,5,55.76,1.56
造成,Concerned,Functional,Yes,Attracted,4,5.65,1.56
笑,Target,Physical,No,Attracted,2,5.62,1.56
起,Concerned,Functional,Yes,Attracted,6,4.89,1.56
失去,Stimulus,Psych,Yes,Attracted,4,1.50,1.56
要求,Theme,Psych,Yes,Attracted,2,1.06,1.56
尊重,Theme,Psych,Yes,Attracted,3,0.78,1.56
觉得,Stimulus,Psych,No,Repelled,1,0.64,1.56
一无所知,Theme,Psych,No,Attracted,6,0.45,1.56
开玩笑,Target,Communication,No,Attracted,3,0.40,1.56
爱,Stimulus,Psych,Yes,Repelled,1,0.34,1.56
陌生,Stimulus,Psych,Yes,Attracted,4,0.23,1.56
清楚,Theme,Psych,Yes,Repelled,2,0.23,1.56
表白,Target,Communication,No,Attracted,6,0.22,1.56
感觉,Stimulus,Psych,Yes,Attracted,3,0.22,1.56
相信,Stimulus,Psych,No,Repelled,2,0.21,1.56
温柔,Target,Manner,Yes,Attracted,4,0.16,1.56
这样,Theme,Manner,Yes,Repelled,6,0.09,1.56
忘怀,Stimulus,Psych,Yes,Attracted,6,0.08,1.56
方便,Concerned,Attribute,No,Repelled,2,0.04,1.56
怎么样,Scope,Functional,Yes,Repelled,1,0.04,1.56
特别,Concerned,Attribute,No,Repelled,2,0.04,1.56
和蔼,Target,Manner,Yes,Attracted,5,0.02,1.56
讲,Target,Communication,No,Attracted,2,5.51,0.78
提出,Theme,Communication,No,Attracted,6,5.05,0.78
重视,Theme,Psych,Yes,Attracted,4,1.91,0.78
有,Scope,Functional,Yes,Attracted,1,1.21,0.78
不利,Concerned,Attribute,Yes,Attracted,6,0.79,0.78
说明,Target,Communication,No,Attracted,3,0.75,0.78
存在,Theme,Functional,Yes,Attracted,4,0.69,0.78
发,Target,Communication,No,Attracted,2,0.69,0.78
付出,Target,Social,No,Attracted,6,0.63,0.78
用,Scope,Functional,Yes,Attracted,2,0.62,0.78
感激,Theme,Psych,No,Attracted,4,0.56,0.78
佩服,Stimulus,Psych,Yes,Attracted,4,0.53,0.78
支持,Theme,Psych,Yes,Attracted,3,0.42,0.78
恨,Stimulus,Psych,No,Attracted,4,0.42,0.78
必不可少,Concerned,Attribute,No,Repelled,6,0.01,0.78
想,Theme,Psych,Yes,Repelled,1,0.40,0.78
留下,Stimulus,Psych,No,Attracted,6,0.33,0.78
介绍,Target,Communication,No,Attracted,1,0.32,0.78
体贴,Target,Manner,Yes,Attracted,4,0.30,0.78
帮助,Concerned,Attribute,Yes,Attracted,1,0.30,0.78
敏感,Theme,Psych,Yes,Attracted,4,0.27,0.78
批评,Target,Communication,No,Attracted,3,0.22,0.78
公平,Concerned,Attribute,Yes,Attracted,4,0.21,0.78
表明,Target,Communication,No,Attracted,4,0.21,0.78
打招呼,Target,Communication,No,Attracted,3,0.19,0.78
要求,Target,Communication,No,Attracted,2,0.17,0.78
给以,Scope,Social,Yes,Attracted,6,0.17,0.78
没用,Concerned,Attribute,No,Attracted,2,0.17,0.78
喜爱,Stimulus,Psych,No,Attracted,6,0.16,0.78
骂,Target,Communication,No,Repelled,4,0.16,0.78
一见钟情,Stimulus,Psych,Yes,Attracted,6,0.16,0.78
关照,Scope,Social,No,Attracted,5,0.14,0.78
无益,Concerned,Attribute,Yes,Attracted,6,0.12,0.78
满足,Stimulus,Psych,Yes,Attracted,4,0.12,0.78
鼓励,Target,Communication,Yes,Attracted,3,0.10,0.78
赞同,Theme,Psych,Yes,Attracted,6,0.10,0.78
教育,Scope,Social,Yes,Attracted,3,0.09,0.78
漠不关心,Theme,Psych,Yes,Attracted,6,0.09,0.78
留意,Theme,Psych,Yes,Attracted,6,0.08,0.78
哭,Target,Physical,No,Repelled,2,0.08,0.78
上瘾,Stimulus,Psych,Yes,Attracted,5,0.07,0.78
严厉,Target,Manner,Yes,Attracted,5,0.07,0.78
严格,Target,Manner,Yes,Repelled,3,0.07,0.78
友善,Target,Manner,Yes,Attracted,6,0.06,0.78
吃惊,Stimulus,Psych,Yes,Attracted,3,0.06,0.78
减免,Scope,Social,Yes,Attracted,6,0.06,0.78
不理,Theme,Psych,Yes,Repelled,6,0.06,0.78
冷漠,Target,Manner,Yes,Attracted,6,0.06,0.78
积极,Target,Manner,Yes,Repelled,3,0.05,0.78
念念不忘,Stimulus,Psych,Yes,Attracted,6,0.05,0.78
变,Scope,Functional,Yes,Repelled,6,0.04,0.78
凶,Target,Manner,Yes,Attracted,6,0.05,0.78
友爱,Target,Manner,Yes,Attracted,6,0.04,0.78
过分,Target,Manner,Yes,Repelled,4,0.04,0.78
加深,Theme,Functional,No,Repelled,6,0.03,0.78
温和,Target,Manner,Yes,Attracted,5,0.03,0.78
严肃,Target,Manner,Yes,Repelled,4,0.03,0.78
自豪,Stimulus,Psych,Yes,Repelled,4,0.03,0.78
行凶,Target,Physical,No,Attracted,6,0.03,0.78
茫然,Stimulus,Psych,No,Repelled,5,0.02,0.78
指示,Target,Communication,No,Attracted,5,0.02,0.78
容易,Concerned,Attribute,Yes,Repelled,2,0.02,0.78
骄傲,Stimulus,Psych,No,Repelled,3,0.02,0.78
和善,Target,Manner,Yes,Attracted,6,0.02,0.78
冷酷,Target,Manner,Yes,Repelled,5,0.01,0.78
那样,Theme,Manner,Yes,Repelled,6,0.01,0.78
又恨又爱,Stimulus,Psych,Yes,Attracted,6,0.01,0.78
过奖,Theme,Communication,Yes,Attracted,5,0.01,0.78
兴致勃勃,Stimulus,Psych,Yes,Repelled,5,0.01,0.78
耐心,Target,Manner,Yes,Repelled,3,0.01,0.78
糊涂,Theme,Psych,No,Repelled,4,0.01,0.78
烦恼,Stimulus,Psych,Yes,Repelled,3,0.01,0.78
简单,Concerned,Attribute,Yes,Repelled,2,0.01,0.78
没大没小,Target,Manner,No,Attracted,6,0.00,0.78
烂熟于胸,Theme,Psych,Yes,Attracted,6,0.00,0.78
打折,Scope,Social,No,Repelled,3,0.00,0.78
怨愤,Stimulus,Psych,Yes,Repelled,6,0.00,0.78
作,Theme,Functional,No,Attracted,4,9.10,0.00
说道,Target,Communication,No,Attracted,6,5.84,0.00
作,Scope,Functional,Yes,Attracted,3,5.64,0.00
采取,Scope,Social,No,Attracted,4,5.10,0.00
有着,Concerned,Functional,Yes,Attracted,6,3.23,0.00
提出,Target,Communication,No,Attracted,6,3.08,0.00
道,Target,Communication,No,Attracted,6,3.05,0.00
具有,Concerned,Functional,Yes,Attracted,6,2.90,0.00
下,Scope,Functional,No,Attracted,4,2.86,0.00
实施,Scope,Functional,No,Attracted,5,2.75,0.00
做出,Scope,Functional,Yes,Attracted,5,2.63,0.00
是,Theme,Functional,No,Attracted,1,2.53,0.00
发动,Target,Communication,No,Attracted,5,2.41,0.00
构成,Concerned,Functional,Yes,Attracted,4,2.21,0.00
做,Theme,Functional,Yes,Attracted,1,2.08,0.00
毫无,Theme,Functional,No,Attracted,5,1.89,0.00
有所,Theme,Functional,Yes,Attracted,6,1.81,0.00
存,Theme,Functional,Yes,Attracted,3,1.79,0.00
予以,Scope,Functional,Yes,Attracted,6,1.79,0.00
形成,Concerned,Functional,Yes,Attracted,4,1.76,0.00
无,Theme,Functional,Yes,Repelled,3,1.70,0.00
抱,Theme,Functional,Yes,Attracted,6,1.66,0.00
怀有,Theme,Functional,Yes,Attracted,6,1.62,0.00
解释,Target,Communication,No,Attracted,3,1.59,0.00
持,Theme,Functional,No,Attracted,6,1.56,0.00
看,Target,Physical,No,Attracted,1,1.51,0.00
缺乏,Theme,Functional,Yes,Attracted,4,1.49,0.00
点,Target,Physical,No,Attracted,2,1.45,0.00
抱有,Theme,Functional,Yes,Attracted,6,1.44,0.00
发生,Scope,Functional,No,Attracted,3,1.4157,0.00
表现,Theme,Functional,No,Attracted,4,1.41,0.00
提供,Scope,Social,No,Attracted,3,1.37,0.00
加以,Scope,Functional,No,Attracted,6,1.27,0.00
发出,Target,Communication,No,Attracted,6,1.28,0.00
开放,Target,Social,No,Attracted,4,1.2639,0.00
展开,Scope,Functional,No,Attracted,4,1.21,0.00
露出,Target,Physical,No,Attracted,6,1.17,0.00
信任,Theme,Psych,Yes,Attracted,4,1.12,0.00
动武,Target,Physical,No,Attracted,6,1.10,0.00
保持,Theme,Functional,No,Attracted,4,1.07,0.00
提起,Target,Communication,No,Attracted,6,1.04,0.00
喊,Target,Communication,No,Attracted,4,1.04,0.00
施加,Scope,Functional,No,Attracted,5,1.03,0.00
毫无,Concerned,Functional,Yes,Attracted,5,0.73,0.00
无,Concerned,Functional,Yes,Repelled,3,0.58,0.00
说,Theme,Communication,No,Attracted,1,0.12,0.00
感谢,Target,Communication,No,Attracted,3,0.02,0.00