Verb,Functions,Semantics,Reliability,Contingency,Accessibility,Textbook,Learner
说,Target,Communication,No,Attracted,1,385.55,181.43
感,Stimulus,Psych,Yes,Attracted,2,53.75,116.02
好,Target,Manner,Yes,Repelled,1,5.56,88.77
有,Concerned,Functional,Yes,Attracted,1,98.24,66.97
好,Concerned,Attribute,Yes,Repelled,1,0,64.63
有,Stimulus,Functional,Yes,Attracted,1,77.85,63.85
了解,Theme,Psych,Yes,Attracted,2,12.98,24.92
重要,Concerned,Attribute,Yes,Attracted,2,9.27,20.25
满意,Stimulus,Psych,Yes,Attracted,2,25.95,21.8
是,Concerned,Functional,Yes,Repelled,1,18.54,19.47
好奇,Stimulus,Psych,Yes,Attracted,4,1.85,14.02
表示,Theme,Communication,No,Attracted,3,7.41,13.24
热情,Target,Manner,Yes,Attracted,2,5.56,9.34
感到,Stimulus,Psych,Yes,Repelled,2,5.56,9.34
合适,Concerned,Attribute,Yes,Repelled,2,0,8.57
熟悉,Theme,Psych,Yes,Attracted,3,5.56,8.57
实行,Scope,Functional,Yes,Repelled,5,0,7.79
习惯,Stimulus,Psych,Yes,Attracted,2,1.85,7.79
影响,Concerned,Functional,Yes,Attracted,2,11.12,5.45
感谢,Stimulus,Psych,Yes,Repelled,3,0,6.23
有,Theme,Functional,No,Attracted,1,61.17,7.01
产生,Stimulus,Functional,Yes,Attracted,4,20.39,5.45
表示,Target,Communication,Yes,Attracted,3,11.12,4.67
理解,Theme,Psych,No,Repelled,3,16.68,4.67
微笑,Target,Physical,No,Attracted,4,5.56,2.34
道歉,Target,Communication,No,Repelled,3,0,4.67
友好,Target,Manner,Yes,Attracted,3,1.85,3.89
难,Concerned,Attribute,Yes,Repelled,2,0,3.89
负,Theme,Functional,Yes,Attracted,3,7.41,3.89
带来,Concerned,Functional,No,Repelled,6,0,3.89
产生,Concerned,Functional,Yes,Attracted,4,9.27,3.11
欢迎,Theme,Psych,No,Repelled,2,0,3.11
关心,Theme,Psych,No,Attracted,2,18.54,3.11
适应,Stimulus,Psych,No,Attracted,3,1.85,2.34
给予,Target,Functional,No,Attracted,5,1.85,2.34
知道,Theme,Psych,Yes,Repelled,1,1.85,2.34
生气,Stimulus,Psych,Yes,Repelled,2,0,2.34
热心,Target,Manner,Yes,Attracted,4,1.85,2.34
失望,Stimulus,Psych,Yes,Attracted,3,3.71,2.34
充满,Theme,Functional,Yes,Attracted,4,7.41,2.34
停止,Scope,Functional,No,Repelled,6,0,2.34
做,Scope,Functional,No,Repelled,1,3.71,2.34
亲切,Target,Manner,Yes,Attracted,4,1.85,3.11
不满,Stimulus,Psych,Yes,Repelled,6,0,2.34
一样,Target,Manner,Yes,Repelled,2,0,2.34
陌生,Stimulus,Psych,Yes,Repelled,4,0,1.56
造成,Concerned,Functional,Yes,Attracted,4,7.41,1.56
进行,Scope,Functional,Yes,Attracted,5,37.07,1.56
这样,Target,Manner,Yes,Repelled,6,1.85,1.56
起,Concerned,Functional,Yes,Attracted,6,3.71,1.56
觉得,Stimulus,Psych,No,Repelled,1,0,1.56
要求,Theme,Psych,Yes,Attracted,2,0,1.56
表白,Target,Communication,No,Repelled,6,0,1.56
笑,Target,Physical,No,Attracted,2,3.71,1.56
相信,Stimulus,Psych,No,Repelled,2,0,1.56
特别,Concerned,Attribute,Yes,Repelled,2,0,1.56
爱,Stimulus,Psych,No,Repelled,1,0,1.56
温柔,Target,Manner,Yes,Repelled,4,0,1.56
清楚,Theme,Psych,Yes,Attracted,2,5.56,1.56
方便,Concerned,Attribute,Yes,Repelled,2,0,1.56
感觉,Stimulus,Psych,Yes,Repelled,3,0,0.78
怎么样,Scope,Functional,Yes,Repelled,1,0,1.56
忘怀,Stimulus,Psych,Yes,Repelled,6,0,1.56
开玩笑,Target,Communication,No,Repelled,3,0,1.56
尊重,Theme,Psych,No,Repelled,3,1.85,1.56
失去,Stimulus,Psych,Yes,Attracted,4,3.71,1.56
和蔼,Target,Manner,Yes,Repelled,5,0,1.56
一无所知,Theme,Psych,Yes,Repelled,6,0,1.56
要求,Target,Communication,No,Attracted,2,5.56,0.78
鼓励,Target,Communication,No,Repelled,3,0,0.78
骄傲,Stimulus,Psych,No,Repelled,3,0,0.78
骂,Target,Communication,No,Repelled,4,1.85,0.78
重视,Theme,Psych,Yes,Attracted,4,1.85,0.78
那样,Target,Manner,Yes,Repelled,6,0,0.78
过奖,Theme,Communication,Yes,Repelled,5,0,0.78
过分,Target,Manner,Yes,Repelled,4,0,0.78
赞同,Theme,Psych,Yes,Repelled,6,0,0.78
说明,Target,Communication,No,Repelled,3,0,0.78
讲,Target,Communication,No,Attracted,2,11.12,0.78
表明,Target,Communication,No,Repelled,4,0,0.78
行凶,Target,Physical,No,Repelled,6,0,0.78
茫然,Stimulus,Psych,Yes,Repelled,5,0,0.78
自豪,Stimulus,Psych,Yes,Repelled,4,0,0.78
耐心,Target,Manner,Yes,Repelled,3,0,0.78
给以,Scope,Functional,Yes,Attracted,6,1.85,0.78
糊涂,Theme,Psych,Yes,Repelled,4,0,0.78
简单,Concerned,Attribute,Yes,Repelled,2,0,0.78
积极,Target,Manner,Yes,Repelled,3,0,0.78
留意,Theme,Psych,Yes,Repelled,6,0,0.78
留下,Stimulus,Psych,No,Repelled,6,0,0.78
用,Scope,Functional,Yes,Repelled,2,1.85,0.78
烦恼,Stimulus,Psych,Yes,Repelled,3,0,0.78
烂熟于心,Theme,Psych,Yes,Repelled,6,0,0.78
漠不关心,Theme,Psych,Yes,Repelled,6,0,0.78
满足,Stimulus,Psych,Yes,Repelled,4,0,0.78
温和,Target,Manner,Yes,Repelled,5,0,0.78
没用,Concerned,Attribute,Yes,Attracted,2,1.85,0.78
没大没小,Target,Manner,Yes,Repelled,6,0,0.78
有,Scope,Functional,Yes,Attracted,1,3.71,0
无益,Concerned,Attribute,Yes,Repelled,6,0,0.78
教育,Target,Social,No,Repelled,3,0,0.78
敏感,Theme,Psych,Yes,Attracted,4,1.85,0.78
支持,Theme,Psych,No,Attracted,3,1.85,0.78
提出,Theme,Communication,No,Repelled,6,0,0.78
指示,Target,Communication,No,Repelled,5,0,0.78
批评,Target,Communication,No,Attracted,3,1.85,0.78
打招呼,Target,Communication,No,Repelled,3,0,0.78
感激,Theme,Psych,No,Attracted,4,1.85,0.78
想,Theme,Psych,Yes,Repelled,1,0,0.78
恨,Stimulus,Psych,No,Attracted,4,1.85,0.78
念念不忘,Stimulus,Psych,Yes,Repelled,6,0,0.78
帮助,Concerned,Attribute,Yes,Repelled,1,0,0.78
容易,Concerned,Attribute,Yes,Repelled,2,0,0.78
存在,Theme,Functional,No,Repelled,4,0,0.78
喜爱,Stimulus,Psych,No,Repelled,6,0,0.78
哭,Target,Physical,No,Repelled,2,0,0.78
和善,Target,Manner,Yes,Repelled,6,0,0.78
吃惊,Stimulus,Psych,Yes,Repelled,3,0,0.78
变,Scope,Functional,Yes,Repelled,6,0,0.78
发,Target,Communication,No,Repelled,2,0,0.78
友爱,Target,Manner,Yes,Repelled,6,0,0.78
友善,Target,Manner,Yes,Repelled,6,0,0.78
又恨又爱,Stimulus,Psych,Yes,Repelled,6,0,0.78
加深,Theme,Functional,No,Repelled,6,0,0.78
凶,Target,Manner,Yes,Repelled,6,0,0.78
减免,Scope,Social,Yes,Repelled,6,0,0.78
冷酷,Target,Manner,Yes,Attracted,5,0,0.78
冷漠,Target,Manner,Yes,Repelled,6,0,0.78
兴致勃勃,Stimulus,Psych,Yes,Repelled,5,0,0.78
关照,Target,Social,No,Repelled,5,0,0.78
公平,Concerned,Attribute,Yes,Attracted,4,1.85,0.78
佩服,Stimulus,Psych,No,Repelled,4,0,0.78
体贴,Target,Manner,Yes,Attracted,4,1.85,0.78
付出,Target,Social,No,Repelled,6,0,0.78
介绍,Target,Communication,No,Repelled,1,0,0.78
严肃,Target,Manner,Yes,Attracted,4,1.85,0.78
严格,Target,Manner,Yes,Attracted,3,1.85,0.78
严厉,Target,Manner,Yes,Repelled,5,0,0.78
不理,Theme,Psych,Yes,Repelled,6,0,0.78
不利,Concerned,Attribute,Yes,Repelled,6,0,0.78
上瘾,Stimulus,Psych,Yes,Repelled,5,0,0.78
一见钟情,Stimulus,Psych,Yes,Repelled,6,0,0.78
打折,Scope,Social,No,Repelled,3,0,0.78
怨愤,Stimulus,Psych,Yes,Repelled,6,0,0.78
说,Theme,Communication,No,Attracted,1,0,0
是,Theme,Functional,No,Repelled,1,3.71,0.78
做,Theme,Functional,No,Repelled,1,1.85,0
作,Theme,Functional,No,Attracted,4,5.56,0
说道,Target,Communication,Yes,Attracted,6,3.71,0
采取,Scope,Functional,Yes,Attracted,4,5.56,0
做出,Scope,Functional,Yes,Attracted,5,5.56,0
是,Theme,Functional,No,Repelled,1,3.71,0
毫无,Theme,Functional,No,Attracted,5,3.71,0
抱,Theme,Functional,Yes,Attracted,6,3.71,0
持,Theme,Functional,Yes,Attracted,6,7.41,0
看,Target,Physical,No,Repelled,1,3.71,0
表现,Theme,Functional,No,Attracted,4,3.71,0
加以,Scope,Functional,No,Attracted,6,5.56,0
照顾,Scope,Social,Yes,Attracted,2,3.71,0
提,Target,Communication,No,Attracted,3,3.71,0
着迷,Stimulus,Psych,Yes,Attracted,5,3.71,0
认真,Theme,Psych,Yes,Attracted,2,3.71,0
提,Theme,Communication,Yes,Attracted,3,7.41,0
缺少,Theme,Functional,Yes,Attracted,3,5.56,0
过敏,Stimulus,Psych,Yes,Attracted,4,3.71,0
治疗,Scope,Social,Yes,Attracted,4,3.71,0
赞成,Theme,Psych,Yes,Attracted,4,3.71,0
必不可少,Concerned,Attribute,No,Repelled,6,0,0.78