"Textbook","Semantics","Accessibility","emmean","SE","df","asymp.LCL","asymp.UCL","Textbook_Rounded","Factor"
6.79593333333333,"Func","1",1.46784543584101,0.368529582961652,Inf,0.745540725998607,2.19015014568341,6.8,"6.8-Func-1"
6.79593333333333,"Psych","1",1.12947538029292,0.371859455230432,Inf,0.40064424073059,1.85830651985525,6.8,"6.8-Psych-1"
6.79593333333333,"Attr","1",0.832478224259402,0.439681369824118,Inf,-0.0292814252691054,1.69423787378791,6.8,"6.8-Attr-1"
6.79593333333333,"Soc","1",0.407023483654397,0.766946600282366,Inf,-1.09616423096448,1.91021119827327,6.8,"6.8-Soc-1"
6.79593333333333,"Comm","1",0.390582376097947,0.460902993273005,Inf,-0.512770891083849,1.29393564327974,6.8,"6.8-Comm-1"
6.79593333333333,"Phys","1",0.457146070532826,0.749671298447253,Inf,-1.01218267466717,1.92647481573282,6.8,"6.8-Phys-1"
6.79593333333333,"Man","1",1.10072239522836,0.416554329087308,Inf,0.284290912612994,1.91715387784373,6.8,"6.8-Man-1"
6.79593333333333,"Func","2",1.85245469768691,0.348562294527202,Inf,1.16928515404495,2.53562424132887,6.8,"6.8-Func-2"
6.79593333333333,"Psych","2",1.51408464213882,0.252863773884084,Inf,1.01848075233114,2.00968853194651,6.8,"6.8-Psych-2"
6.79593333333333,"Attr","2",1.2170874861053,0.318754951622161,Inf,0.592339261032062,1.84183571117855,6.8,"6.8-Attr-2"
6.79593333333333,"Soc","2",0.791632745500299,0.72730721547288,Inf,-0.633863202522659,2.21712869352326,6.8,"6.8-Soc-2"
6.79593333333333,"Comm","2",0.775191637943849,0.390513730661277,Inf,0.00979879037937093,1.54058448550833,6.8,"6.8-Comm-2"
6.79593333333333,"Phys","2",0.841755332378729,0.669099954860067,Inf,-0.469656481204379,2.15316714596184,6.8,"6.8-Phys-2"
6.79593333333333,"Man","2",1.48533165707426,0.32733516485667,Inf,0.843766523081711,2.12689679106682,6.8,"6.8-Man-2"
6.79593333333333,"Func","3",1.20428597658731,0.368814774404498,Inf,0.481422301788228,1.92714965138639,6.8,"6.8-Func-3"
6.79593333333333,"Psych","3",0.86591592103922,0.27713640355342,Inf,0.322738551269558,1.40909329080888,6.8,"6.8-Psych-3"
6.79593333333333,"Attr","3",0.568918765005701,0.40539746831174,Inf,-0.225645672309027,1.36348320232043,6.8,"6.8-Attr-3"
6.79593333333333,"Soc","3",0.143464024400696,0.694169098490416,Inf,-1.21708240782116,1.50401045662255,6.8,"6.8-Soc-3"
6.79593333333333,"Comm","3",0.127022916844246,0.344655839366234,Inf,-0.548490115374995,0.802535949063487,6.8,"6.8-Comm-3"
6.79593333333333,"Phys","3",0.193586611279125,0.718672089952575,Inf,-1.21498480172205,1.6021580242803,6.8,"6.8-Phys-3"
6.79593333333333,"Man","3",0.837162935974661,0.343136833720941,Inf,0.164627100112508,1.50969877183681,6.8,"6.8-Man-3"
6.79593333333333,"Func","4",0.741558126831071,0.343275228062163,Inf,0.0687510430444577,1.41436521061768,6.8,"6.8-Func-4"
6.79593333333333,"Psych","4",0.403188071282983,0.285059329007342,Inf,-0.155517947028561,0.961894089594527,6.8,"6.8-Psych-4"
6.79593333333333,"Attr","4",0.106190915249464,0.401383296286744,Inf,-0.680505889468525,0.892887719967452,6.8,"6.8-Attr-4"
6.79593333333333,"Soc","4",-0.319263825355542,0.735446240203521,Inf,-1.76071196871984,1.12218431800875,6.8,"6.8-Soc-4"
6.79593333333333,"Comm","4",-0.335704932911992,0.408684086557285,Inf,-1.13671102361892,0.465301157794937,6.8,"6.8-Comm-4"
6.79593333333333,"Phys","4",-0.269141238477112,0.69226305522259,Inf,-1.62595189454105,1.08766941758683,6.8,"6.8-Phys-4"
6.79593333333333,"Man","4",0.374435086218424,0.329354441275842,Inf,-0.271087756830539,1.01995792926739,6.8,"6.8-Man-4"
6.79593333333333,"Func","5",0.592036908602568,0.416585591721106,Inf,-0.224455847649108,1.40852966485424,6.8,"6.8-Func-5"
6.79593333333333,"Psych","5",0.25366685305448,0.409782653361336,Inf,-0.549492389022999,1.05682609513196,6.8,"6.8-Psych-5"
6.79593333333333,"Attr","5",-0.0433303029790389,0.492494445730036,Inf,-1.00860167919593,0.921941073237848,6.8,"6.8-Attr-5"
6.79593333333333,"Soc","5",-0.468785043584045,0.748595205271658,Inf,-1.93600468491586,0.998434597747774,6.8,"6.8-Soc-5"
6.79593333333333,"Comm","5",-0.485226151140494,0.47873684342831,Inf,-1.42353312233237,0.453080820051383,6.8,"6.8-Comm-5"
6.79593333333333,"Phys","5",-0.418662456705615,0.770789350644429,Inf,-1.92938182363571,1.09205691022448,6.8,"6.8-Phys-5"
6.79593333333333,"Man","5",0.224913867989921,0.42015444306735,Inf,-0.598573708366569,1.04840144434641,6.8,"6.8-Man-5"
6.79593333333333,"Func","6",0.332068051542516,0.327159929727982,Inf,-0.309153627908984,0.973289730994015,6.8,"6.8-Func-6"
6.79593333333333,"Psych","6",-0.00630200400557236,0.270301754337444,Inf,-0.536083707464957,0.523479699453812,6.8,"6.8-Psych-6"
6.79593333333333,"Attr","6",-0.303299160039091,0.381867403266869,Inf,-1.05174551731199,0.445147197233806,6.8,"6.8-Attr-6"
6.79593333333333,"Soc","6",-0.728753900644097,0.70157496243586,Inf,-2.10381555947342,0.646307758185229,6.8,"6.8-Soc-6"
6.79593333333333,"Comm","6",-0.745195008200547,0.394454377290967,Inf,-1.51831138123502,0.0279213648339223,6.8,"6.8-Comm-6"
6.79593333333333,"Phys","6",-0.678631313765667,0.698895663683684,Inf,-2.04844164353691,0.691179016005571,6.8,"6.8-Phys-6"
6.79593333333333,"Man","6",-0.0350549890701316,0.316246440156981,Inf,-0.654886622016815,0.584776643876552,6.8,"6.8-Man-6"
